flash,ram,text,code,rodata,data,bss,dec,hex,filename
2500,4,2500,1464,1036,0,4,2504,`9c8,armino/cmsis/libcmsis.a
3835,56,3799,3560,239,36,20,3855,`f0f,armino/iperf/libiperf.a
82467,5012,81979,74356,7623,488,4524,86991,`153cf,armino/lwip_intf_v2_1/liblwip_intf_v2_1.a
5461,2912,5453,4260,1193,8,2904,8365,`20ad,armino/bk_wifi_driver/libbk_wifi_driver.a
12558,100,12558,7846,4712,0,100,12658,`3172,armino/bk_wifi/libbk_wifi.a
646334,26038,641496,466470,175026,4838,21200,667534,`a2f8e,/home/tuya/Documents/tuya/Projects/T5_TuyaOS-3.13.8/software/TuyaOS/libs/libtuyaos.a
3636,0,3636,3636,0,0,0,3636,`e34,/home/tuya/Documents/tuya/Projects/T5_TuyaOS-3.13.8/software/TuyaOS/vendor/T5/toolchain/gcc-arm-none-eabi-10.3-2021.10/bin/../lib/gcc/arm-none-eabi/10.3.1/thumb/v8-m.main+fp/hard/libgcc.a
41051,1441,39613,38068,1545,1438,3,41054,`a05e,/home/tuya/Documents/tuya/Projects/T5_TuyaOS-3.13.8/software/TuyaOS/vendor/T5/toolchain/gcc-arm-none-eabi-10.3-2021.10/bin/../lib/gcc/arm-none-eabi/10.3.1/../../../../arm-none-eabi/lib/thumb/v8-m.main+fp/hard/libc.a
4052,296,4052,2824,1228,0,296,4348,`10fc,armino/cm33/libcm33.a
83609,6920,82989,70090,12899,620,6300,89909,`15f35,armino/driver/libdriver.a
1274,76,1273,1192,81,1,75,1349,`545,armino/bk_system/libbk_system.a
473,4,473,336,137,0,4,477,`1dd,armino/bk_init/libbk_init.a
19550,9766,19157,15622,3535,393,9373,28923,`70fb,armino/bk_cli/libbk_cli.a
32407,4233,31354,23390,7964,1053,3180,35587,`8b03,armino/tuyaos_adapter/libtuyaos_adapter.a
4195,90,4110,3832,278,85,5,4200,`1068,armino/bk7258_ap/libbk7258_ap.a
15769,228,15705,13978,1727,64,164,15933,`3e3d,armino/common/libcommon.a
251,32,251,246,5,0,32,283,`11b,armino/bk_startup/libbk_startup.a
2436,17,2436,1958,478,0,17,2453,`995,armino/bk_event/libbk_event.a
3585,73,3584,3080,504,1,72,3657,`e49,armino/bk_aud_param_ctrl/libbk_aud_param_ctrl.a
4329,20,4329,3286,1043,0,20,4349,`10fd,armino/aec_v3_algorithm/libaec_v3_algorithm.a
4162,52,4162,3000,1162,0,52,4214,`1076,armino/onboard_speaker_stream/libonboard_speaker_stream.a
3204,48,3204,2022,1182,0,48,3252,`cb4,armino/onboard_mic_stream/libonboard_mic_stream.a
3608,56,3608,2556,1052,0,56,3664,`e50,armino/onboard_dual_dmic_mic_stream/libonboard_dual_dmic_mic_stream.a
1602,795,840,840,0,762,33,1635,`663,armino/bk_pm/libbk_pm.a
14762,100,14762,8690,6072,0,100,14862,`3a0e,armino/bk_voice_service/libbk_voice_service.a
213,0,213,108,105,0,0,213,`d5,armino/ap/libap.a
103992,0,103992,37620,66372,0,0,103992,`19638,/home/tuya/Documents/tuya/Projects/T5_TuyaOS-3.13.8/software/TuyaOS/vendor/T5/t5_os/ap/components/bk_libs/bk7258_ap/libs/libaec_v3.a
6496,13,6496,5220,1276,0,13,6509,`196d,armino/bk_rtos/libbk_rtos.a
1404,160,1268,942,326,136,24,1428,`594,armino/media_service/libmedia_service.a
16987,877,16982,15456,1526,5,872,17859,`45c3,armino/os_source/libos_source.a
4655,648,4655,2362,2293,0,648,5303,`14b7,armino/coredump/libcoredump.a
4940,49,4916,3544,1372,24,25,4965,`1365,armino/display_service/libdisplay_service.a
13337,513,13332,8666,4666,5,508,13845,`3615,armino/bk_modem/libbk_modem.a
26717,5578,26708,22170,4538,9,5569,32286,`7e1e,armino/bk_usb/libbk_usb.a
284,0,284,28,256,0,0,284,`11c,armino/avdk_utils/libavdk_utils.a
66120,26783,39927,28862,11065,26193,590,66710,`10496,armino/multimedia/libmultimedia.a
4703,433,4307,3246,1061,396,37,4740,`1284,armino/bk_bluetooth/libbk_bluetooth.a
729,65,729,660,69,0,65,794,`31a,armino/bk_netif/libbk_netif.a
4,0,4,4,0,0,0,4,`4,armino/http/libhttp.a
4,0,4,4,0,0,0,4,`4,armino/bk_common/libbk_common.a
2094,852,1966,1818,148,128,724,2818,`b02,armino/bk_vfs/libbk_vfs.a
2799,32,2799,2262,537,0,32,2831,`b0f,armino/media_utils/libmedia_utils.a
23449,75,23380,14770,8610,69,6,23455,`5b9f,armino/bk_peripheral/libbk_peripheral.a
6592,14,6592,5392,1200,0,14,6606,`19ce,armino/bk_dvp/libbk_dvp.a
10712,66,10712,7834,2878,0,66,10778,`2a1a,armino/bk_uvc/libbk_uvc.a
104834,18723,104824,91400,13424,10,18713,123547,`1e29b,/home/tuya/Documents/tuya/Projects/T5_TuyaOS-3.13.8/software/TuyaOS/vendor/T5/t5_os/ap/components/bk_libs/bk7258_ap/libs/libbluetooth_host_ble_ap.a
20,4,20,20,0,0,4,24,`18,/home/tuya/Documents/tuya/Projects/T5_TuyaOS-3.13.8/software/TuyaOS/vendor/T5/t5_os/ap/components/bk_libs/bk7258_ap/libs/libaudio_osi.a
32,4,32,32,0,0,4,36,`24,/home/tuya/Documents/tuya/Projects/T5_TuyaOS-3.13.8/software/TuyaOS/vendor/T5/t5_os/ap/components/bk_libs/bk7258_ap/libs/libvideo_osi.a
